species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1), t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),Reference
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,1.62,
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,2.41,
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,1.8,
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.09,
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.35,
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.24,
Lutjanus sebae,ls,116,17630,0.14,0.12,-0.3,34,39.8,0.43,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,1.62,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,2.41,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,1.8,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,0.09,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,0.35,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,0.24,
Lutjanus sebae,ls1,78.7,8000,0.12,0.12,-1.9,28,39.8,0.43,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,1.62,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,2.41,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,1.8,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.09,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.35,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.24,
Lutjanus johnii,lj,99.33,10920,0.16,0.24,-0.3,11,27.08,0.43,
