species,id,Linf (cm),Winf (g),growth_coef (yr-1),M (yr-1), t0 (yr),max_age (yr),L50 (cm),Fmort (yr-1),Reference
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,1.62,
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,2.41,Winf made-up
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,1.8,
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,0.09,
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,0.35,
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,0.24,
Pagrus caeruloestictus ,pc,39.9,800,0.18,0.35,-0.87,9.5,17.3,0.43,
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,1.62,Kassah (2020)
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,2.41,
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,1.8,
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.09,
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.35,
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.24,
Scomber colias,sc,42.5,695,0.28,0.7,-0.54,10,24.1,0.43,
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,1.62,Amponsah et al. (2021); Fishbase
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,2.41,
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,1.8,
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,0.09,
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,0.35,
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,0.24,
Caranx crysos,cc,37.6,5100,0.41,0.65,-0.38,11,14.9,0.43,
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,1.62,Amponsah et al. (2021); Fishbase
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,2.41,max_age made-up
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,1.8,
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,0.09,
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,0.35,
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,0.24,
Trachurus trecae,tt,26.1,2000,0.75,1.14,-0.23,10.5,15.9,0.43,
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,1.62,Okyere and Blay (2020)
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,2.41,
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,1.8,
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,0.09,
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,0.35,
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,0.24,
Pseudotolithus senegalensis,ps,110.3,,0.2,0.42,-0.59,15,22.8,0.43,
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,1.62,Aggrey-Fynn and Hotor (2021)
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,2.41,t0 and tmax are made-up
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,1.8,
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,0.09,
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,0.35,
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,0.24,
Sphyraena sphyraena,ss,69.9,3600,1.64,1.88,-0.8,12,39.3,0.43,
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,1.62,Aggrey-Fynn and Hotor (2021)
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,2.41,
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,1.8,t0 and tmax are made-up
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,0.09,
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,0.35,
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,0.24,
Apsilus fuscus,as,53.5,,0.5,0.74,-0.48,10,32.8,0.43,
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,1.62,Amponsah et al. (2021)
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,2.41,
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,1.8,
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,0.09,
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,0.35,
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,0.24,
Galeoides decadactylus,gd,39.6,,0.19,0.36,-0.32,14.98,17,0.43,
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,1.62,Amponsah et al. (2016)
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,2.41,
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,1.8,
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,0.09,
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,0.35,
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,0.24,
Brachydeuterus auritus,ba,16.28,,0.78,1.73,-0.24,4,3.95,0.43,
